,Parcela 0,Parcela 1,Parcela 2,Parcela 3,Parcela 4,Parcela 5,Parcela 6,Parcela 7,Parcela 8,Parcela 9,Parcela 10,Parcela 11,Parcela 12,Parcela 13,Parcela 14,Parcela 15,Parcela 16,Parcela 17,Parcela 18,Parcela 19,Parcela 20,Parcela 21,Parcela 22,Parcela 23,Parcela 24,Parcela 25,Parcela 26,Parcela 27,Parcela 28,Parcela 29,Parcela 30,Parcela 31,Parcela 32,Parcela 33,Parcela 34,Parcela 35
Parcela 0,0,356.2267978,8035.147436,2603.512691,2261.49095,5321.948549,5547.897188,8220.920602,7855.745185,1424.880063,9899.715334,355.8622454,10971.60444,3808.430449,4979.769878,7360.008687,2896.72897,2931.539527,10298.86144,6272.295697,4932.677958,1528.673633,7658.033444,3628.540533,2397.350924,1393.378945,3179.679444,2973.267222,3948.222045,4062.357412,2849.580764,2488.239088,3560.192837,3800.751331,2753.343362,1032.874204
Parcela 1,356.2267978,0,7689.089702,2942.92947,1919.286433,5004.321919,5899.097797,7867.515159,7503.288294,1780.340435,10255.26395,467.6174286,11327.44808,3452.676314,5333.893502,7715.884672,2973.303841,2975.2343,10652.49653,6595.009428,4578.70624,1288.156262,8011.972275,3983.156729,2586.949828,1747.955561,2980.11101,2803.21158,3593.91475,3707.490994,3205.787642,2402.372899,3913.794744,4147.704414,3109.336803,1380.513623
Parcela 2,8035.147436,7689.089702,0,10330.96551,6136.914045,3070.436878,13576.99461,920.6880266,751.6986122,9444.392177,17869.76822,7912.690455,18925.66089,4348.691064,12992.17132,15326.77766,8328.422194,8070.007722,18305.99332,13493.41374,3772.708169,6738.566236,15665.79974,11524.82244,8967.3155,9359.469804,5951.472876,6294.481975,4157.08274,4064.83446,10832.52434,7066.128139,11434.69687,11548.80525,10712.46438,9067.824847
Parcela 3,2603.512691,2942.92947,10330.96551,0,4862.05308,7398.853374,3497.727362,10624.22322,10244.26227,1407.264706,7558.601155,2560.055167,8602.883716,6302.052776,2851.052032,5027.282895,2851.379607,3090.09775,8036.673118,3700.94693,7494.96191,3598.333931,5424.405923,1242.345947,1824.880156,1280.770672,4689.444246,4362.986733,6408.893043,6531.707061,953.3444926,3574.281081,1135.38529,1229.870435,788.3464567,1832.152829
Parcela 4,2261.49095,1919.286433,6136.914045,4862.05308,0,3902.94118,7660.226529,6180.116914,5840.770152,3638.300481,12066.4841,2331.283177,13145.78236,1789.552616,7134.515985,9541.754057,4335.457692,4230.745545,12426.32742,8503.700152,2717.850362,1925.386739,9797.618367,5872.420553,4279.939223,3645.066043,3138.294384,3174.670679,1993.997131,2075.742013,5065.203337,3269.358979,5809.759867,6061.968206,4984.745482,3201.554982
Parcela 5,5321.948549,5004.321919,3070.436878,7398.853374,3902.94118,0,10762.79923,3627.855177,3234.383828,6665.702431,14957.30254,5131.743769,15997.67349,2361.447026,10151.70627,12424.58516,5260.835899,5000.804064,15428.37625,10439.2325,2872.656487,3879.050576,12800.6172,8621.585896,5934.619596,6543.07416,2885.926068,3230.881768,2124.396527,2127.791462,7990.18216,4014.358265,8523.906541,8595.263842,7856.307206,6337.640067
Parcela 6,5547.897188,5899.097797,13576.99461,3497.727362,7660.226529,10762.79923,0,13764.63008,13402.06088,4132.608685,4428.339621,5667.078654,5512.434453,9338.85404,652.1836169,1988.001323,6300.877086,6554.683767,4766.398682,3685.529541,10376.98204,6886.902571,2143.123447,2275.22897,5292.132354,4227.050354,8159.15949,7841.337745,9489.735331,9600.765033,2774.205651,7063.442442,2392.787703,2567.223389,2914.297393,4519.229606
Parcela 7,8220.920602,7867.515159,920.6880266,10624.22322,6180.116914,3627.855177,13764.63008,0,396.1084419,9644.292501,18112.45106,8136.303204,19178.93385,4431.938003,13200.51437,15569.1948,8808.09665,8559.861174,18519.78163,13914.74754,3602.588845,7029.602137,15878.8516,11787.03278,9371.042515,9582.579682,6441.070784,6775.090526,4274.907329,4164.8809,11057.24164,7514.57172,11703.26781,11851.78481,10947.33891,9245.839687
Parcela 8,7855.745185,7503.288294,751.6986122,10244.26227,5840.770152,3234.383828,13402.06088,396.1084419,0,9277.760042,17741.63131,7764.847536,18806.62924,4079.292623,12834.16609,15197.9394,8412.58098,8164.076587,18153.75758,13522.72863,3311.750128,6647.834356,15512.4391,11411.74964,8979.46364,9212.20936,6045.086753,6379.293461,3914.926512,3807.888948,10687.37542,7119.925213,11327.04576,11471.00726,10575.82161,8882.831619
Parcela 9,1424.880063,1780.340435,9444.392177,1407.264706,3638.300481,6665.702431,4132.608685,9644.292501,9277.760042,0,8474.927607,1539.361175,9547.287079,5233.004463,3556.421599,5935.81644,3119.604455,3272.896078,8875.999861,5087.441904,6339.313135,2791.274845,6234.745301,2238.42108,2225.633275,256.954936,4252.368963,3977.998178,5372.755732,5487.183056,1430.189231,3301.11169,2182.496592,2483.761802,1346.7796,449.5145671
